customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_created_at,brand_reply_text,pair_id
1920673,571782,Thu Oct 26 16:36:51 +0000 2017,"Fix the song ""Wolves "" By @405270 &amp; @405271 . It isn't showing properly.  It shows as ""TH"" @115888 @SpotifyCares @117168",1920671,Thu Oct 26 16:59:09 +0000 2017,"@571782 Hi there! Can you send us a screenshot of the error you're seeing on the song ""Wolves"" by Selena Gomez? We'll take a look backstage /JI",sp_00000
240331,173081,Tue Oct 03 02:42:48 +0000 2017,"@SpotifyCares I have a problem with Shuffle, it doesn't work in my car (Mazda 6 2014)..  when I connect, the shuffle sign turns off..",240330,Tue Oct 03 03:01:22 +0000 2017,"@173081 Can you tell us what device, operating system, and Spotify version you're using? We'll take a closer look /CH",sp_00001
1819204,546381,Mon Oct 16 15:24:01 +0000 2017,@SpotifyCares Tell that to my coworker who got an eye full of St. Vincent's pink-clad butt 😂 thanks for replying though!,1819206,Mon Oct 16 15:46:45 +0000 2017,"@546381 We extend our apologies, and hopefully that won't happen again. If you need help with anything else, we're just a tweet away 🙂 /NJ",sp_00002
462668,224968,Fri Dec 01 01:14:32 +0000 2017,"@SpotifyCares The app on my Galaxy S8+ seems to be broken. When I attempt to launch it, I see nothing but a black screen. Also, it constantly switches to offline mode between listening sessions. HELP",462666,Fri Dec 01 02:45:13 +0000 2017,"@224968 Hey Jake, help's here! Can you send us the Android and Spotify versions you're running? We'll see what we can suggest /LO",sp_00003
1021172,361652,Sun Oct 22 16:12:59 +0000 2017,"@SpotifyCares Hi, I tried to subscribe to Prem, but when entering PayPal details, it redirects back to the same screen with 30 days offer.",1021171,Sun Oct 22 22:45:12 +0000 2017,@361652 Hi! We've just sent a DM your way. Let's carry on chatting there 🙂 /MG,sp_00004
2183111,294502,Thu Nov 09 14:58:02 +0000 2017,"https://t.co/w5T2g2XZIw

Why Spotify limit those previews to 28 sc ? Knowing they pay up to 30 sc listened...to not disturb the neighbouring ?

@SpotifyCares any responses to the masses ?",2183110,Thu Nov 09 16:15:18 +0000 2017,"@294502 Hey Tom! We appreciate your honest thoughts. We'll pass this on. In the meantime, if you have any other questions, don't hesitate to ask /DB",sp_00005
1517689,472112,Mon Oct 16 23:43:21 +0000 2017,I don't get why @115888 can't have a Jamaica Top 50 or a Trinidad Top 50. They have a Singapore Top 50 and that's a city.,1517690,Tue Oct 17 00:21:40 +0000 2017,"@472112 1: Hey! Spotify isn't available in Jamaica and Trinidad yet. Don't worry, we're launching in new countries as often as possible. Be... /MG",sp_00006
316399,191547,Sat Oct 07 07:23:05 +0000 2017,".@115888 @SpotifyCares can you guys not play horror movie ads especially when it's past midnight? Do not want the condom ads, too. https://t.co/kPUsIHtZpK",316398,Sat Oct 07 07:59:11 +0000 2017,"@191547 Hey! Thanks for the feedback. No worries, we'll pass it on to our developers. If you need anything else, just let us know /NY",sp_00007
1652658,504572,Tue Oct 17 20:43:04 +0000 2017,"@SpotifyCares even tried with the web player, and no dice",1652659,Tue Oct 17 22:09:11 +0000 2017,@504572 Thanks for giving it a try. Can you DM us your account's username or email address? We'll check things backstage /CP https://t.co/ldFdZRiNAt,sp_00008
1486686,412200,Fri Nov 03 02:29:10 +0000 2017,Feature Request: ability to switch to a new playlist after the current song (instead of stopping it and switching immediately) on @115888,1486685,Fri Nov 03 04:39:22 +0000 2017,@412200 Hey Alan! We can see how that’d be useful. You can vote for the official idea here: https://t.co/lJtXqDZyWF 🙂 /BP,sp_00009
1952184,579705,Sun Oct 29 14:01:39 +0000 2017,@116130 @115888 @SpotifyCares Because it is actually starting to bug me,1952183,Sun Oct 29 14:52:53 +0000 2017,"@579705 Hey Matthew! That doesn't sound good. Can you let us know the device, OS, and Spotify version you're rocking? /QI",sp_00010
2135040,628139,Wed Nov 08 17:18:56 +0000 2017,"BRING BACK BTOB'S  ""COMPLETE"" AND ""I MEAN"" ALBUM, @115888 PLEASE! https://t.co/NUE7zX7u8Y",2135039,Wed Nov 08 17:39:14 +0000 2017,"@628139 Hey, we hear you! Sometimes content gets temporarily removed due to licensing changes. Hopefully we'll have it available again soon 🙂 /TR",sp_00011
206608,164935,Wed Oct 04 23:53:44 +0000 2017,"@SpotifyCares It happens on my iPhone app, MacBook air desktop app and iMac desktop app. This isn't anything new, it's just getting worse.",206606,Wed Oct 04 23:58:39 +0000 2017,"@164935 Got it. Is this happening when you're streaming a specific playlist? If so, could you send us a link to it? /KB",sp_00012
1538088,476820,Tue Oct 17 01:35:05 +0000 2017,@115888 I love you but your shuffling algorithm has turned into absolute garbage,1538089,Tue Oct 17 01:54:38 +0000 2017,@476820 1: Hey! Sorry to hear you feel that way. We’ve recently made some improvements to our shuffle algorithm. We’d love...,sp_00013
1915435,570538,Thu Oct 26 00:41:28 +0000 2017,"@SpotifyCares I upgraded to premium, but the iPhone app doesn’t show it. Tried logging out, reinstalling, waiting a week, etc. What do I do?",1915433,Thu Oct 26 00:44:17 +0000 2017,@570538 Hey Jacob! Could you send us a DM with your account's email address or username? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,sp_00014
